番号,おすすめ商品名,写真ファイル名,商品の種類（１：飲食店 2:和菓子 3:お土産 4:工芸品 6:その他）,お店の名前,住所,緯度,経度,紹介,定休日,営業時間,
1,わらび餅（黒糖）,mura1.jpg,2,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),
2,日向夏わり氷,mura2.jpg,2,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),
3,九谷焼マグカップ,mura3.jpg,4,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),
4,蒔絵ストラップ,mura4.jpg,3,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),
5,蒔絵ピアス,mura5.jpg,3,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),モーニング ０８：００～１１：００、ランチ　１２：００～１４：００、カフェ　１４：００～１６：００、ディナー １８：００～
6,生菓子 薔薇（黄身餡）,mura6.jpg,2,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),
7,生菓子 ,mura7.jpg,2,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),
8,オリジナルグッズ,hira1.jpg,3,ひらみぱん,石川県金沢市長町1-6-11,36.566333,136.6510441,大正時代の鉄工所跡を利用したオシャレな外観に落ち着いた雰囲気、かわいいオリジナルグッズに美味しい食べ物,月曜日,モーニング ０８：００～１１：００、ランチ　１２：００～１４：００、カフェ　１４：００～１６：００、ディナー １８：００～,
9,イチゴジャム,hira2.jpg,1,ひらみぱん,石川県金沢市長町1-6-11,36.566333,136.6510441,大正時代の鉄工所跡を利用したオシャレな外観に落ち着いた雰囲気、かわいいオリジナルグッズに美味しい食べ物,月曜日,モーニング ０８：００～１１：００、ランチ　１２：００～１４：００、カフェ　１４：００～１６：００、ディナー １８：００～,
10,パン,hira3.jpg,1,ひらみぱん,石川県金沢市長町1-6-11,36.566333,136.6510441,大正時代の鉄工所跡を利用したオシャレな外観に落ち着いた雰囲気、かわいいオリジナルグッズに美味しい食べ物,月曜日,モーニング ０８：００～１１：００、ランチ　１２：００～１４：００、カフェ　１４：００～１６：００、ディナー １８：００～,
11,レーズンパン,hira4.jpg,1,ひらみぱん,石川県金沢市長町1-6-11,36.566333,136.6510441,大正時代の鉄工所跡を利用したオシャレな外観に落ち着いた雰囲気、かわいいオリジナルグッズに美味しい食べ物,月曜日,モーニング ０８：００～１１：００、ランチ　１２：００～１４：００、カフェ　１４：００～１６：００、ディナー １８：００～,
12,九谷焼のテーブルウェア,gift1.jpg,4,［g］ift（ギフト）,石川県金沢市広坂1-2-18　中村ビル 1F,36.5616823,136.6572545,北陸3県の伝統工芸から雑貨、食品などの様々な商品が揃うセレクトショップ。,月・火（いずれか祝休日の場合は平日へずれてお休みします）、年末年始,10:00～18:00,
13,九谷焼のテーブルウェア2,gift2.jpg,4,［g］ift（ギフト）,石川県金沢市広坂1-2-18　中村ビル 1F,36.5616823,136.6572545,北陸3県の伝統工芸から雑貨、食品などの様々な商品が揃うセレクトショップ。,月・火（いずれか祝休日の場合は平日へずれてお休みします）、年末年始,10:00～18:00,
14,金沢のピクルス,gift3.jpg,3,［g］ift（ギフト）,石川県金沢市広坂1-2-18　中村ビル 1F,36.5616823,136.6572545,北陸3県の伝統工芸から雑貨、食品などの様々な商品が揃うセレクトショップ。,月・火（いずれか祝休日の場合は平日へずれてお休みします）、年末年始,10:00～18:00,
15,ミニ下駄,kabu1.jpg,4,九谷焼窯元　鏑木商舗（金沢九谷ミュウジアム内）,石川県金沢市長町１丁目３－１６,36.5638389,136.6508776,長町武家屋敷界隈の風情ある和風建築のお店。九谷焼のさまざまな商品が展示販売されています。,不定休,９：００～２２：００(日曜･祝日：～１８：００),
16,豆皿,kabu2.jpg,4,九谷焼窯元　鏑木商舗（金沢九谷ミュウジアム内）,石川県金沢市長町１丁目３－１６,36.5638389,136.6508776,長町武家屋敷界隈の風情ある和風建築のお店。九谷焼のさまざまな商品が展示販売されています。,不定休,９：００～２２：００(日曜･祝日：～１８：００),
17,猫の箸置き,kabu3.jpg,4,九谷焼窯元　鏑木商舗（金沢九谷ミュウジアム内）,石川県金沢市長町１丁目３－１６,36.5638389,136.6508776,長町武家屋敷界隈の風情ある和風建築のお店。九谷焼のさまざまな商品が展示販売されています。,不定休,９：００～２２：００(日曜･祝日：～１８：００),
18,アクセサリー,taro1.jpg,3,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
19,ポーチ,taro2.jpg,3,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
20,たろうのようかん,taro3.jpg,2,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
21,チョコ味のようかん,taro4.jpg,2,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
