番号,お店の名前,住所,緯度,経度,お店の種類（１：飲食店 2:和菓子 3:お土産 4:その他）,URL,紹介,定休日,営業時間,おすすめ商品
1,和菓子 村上 本店,金沢市長町2-3-32,36.564025,136.6497,2,https://www.wagashi-murakami.com/,店内人気の定番和菓子である「日向夏わり氷」や「今月の上生菓子」、「わらび餅」,年中無休,08:30～17:00（夏季～18:00),日向夏わり氷、わらび餅
2,ひらみぱん,石川県金沢市長町1-6-11,36.566333,136.6510441,1,http://www.hiramipan.com/,大正時代の鉄工所跡を利用したオシャレな外観に落ち着いた雰囲気、かわいいオリジナルグッズに美味しい食べ物,月曜日,モーニング ０８：００～１１：００、ランチ　１２：００～１４：００、カフェ　１４：００～１６：００、ディナー １８：００～,オリジナルグッズ、美味しい食べ物
3,［g］ift（ギフト）,石川県金沢市広坂1-2-18　中村ビル 1F,36.5616823,136.6572545,3,http://www.gift-hokuriku.jp,北陸3県の伝統工芸から雑貨、食品などの様々な商品が揃うセレクトショップ。,月・火（いずれか祝休日の場合は平日へずれてお休みします）、年末年始,10:00～18:00,九谷焼のテーブルウェア
4,九谷焼窯元　鏑木商舗（金沢九谷ミュウジアム内）,石川県金沢市長町１丁目３－１６,36.5638389,136.6508776,4,http://kaburaki.jp/,長町武家屋敷界隈の風情ある和風建築のお店。九谷焼のさまざまな商品が展示販売されています。,不定休,９：００～２２：００(日曜･祝日：～１８：００),豆皿、ミニ下駄、ねこの箸置き
5,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,2,http://www.sakakobo-taro.com/,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,一粒菓子「もりの音」、「たろうのようかん」、「はなことたろう」（アーモンド入りカカオ羊羹）、水引を利用したネックレスやリング
6,アロマ工房「焚屋」,石川県金沢市長町1-2-23,36.5633751,136.6522608,3,http://www.aroma-taku.com/,店内いろいろなかおりが漂っているアロマ工房。おすすめは「ぽち香」。観光客がおみやげで買っていく,毎週火曜日 祭日は営業,11:00～20:00,アロマレター、おかしの香りを再現したお線香、香りつきの水引ストラップ
7,加賀てまり 鞠屋,石川県金沢市南町5-7　小出南ビル1階,36.5665196,136.6541923,3,http://kagatemari.com,加賀てまりは娘が嫁ぐ際に、魔よけとして持たせるもの。手作りのてまりを扱うお店。お土産にストラップやイヤリングなどおすすめ。,火曜・水曜,午前9：30～午後6：00,てまりや指ぬきの他に、ストラップやイヤリングなど
8,古都美(ことみ),石川県金沢市広坂1丁目2-27,36.5615504,136.6582938,1,http://kotomikanazawa.jp/sp,21世紀美術館のすぐ近くにあり、いつもパフェの看板が立っており、入口が奥まっていて、隠れ家のような雰囲気がすてきなカフェ＆スイーツショップ,月曜日 火曜不定休,1F ショップ 午前11:00～午後18:00、2F カフェ 午前11:00～午後18:00,1階のショップ：お菓子やケーキ、2階のカフェ：棒茶のパフェ
9,加賀麩　不室屋,石川県金沢市尾張町2丁目3番1号,36.571788,136.658449,1,http://www.fumuroya.co.jp/,可愛い色と形をした美味しいお麩がたくさん置かれています。,年中無休,9:30~18:00,
10,加賀の薫香　香屋,石川県金沢市武蔵町10番1号,36.571349,136.653394,3,http://www.ko-ya.net/,金魚や椿など多様な柄の美しいろうそくが見れます。,火曜・年末年始,9:30~18:00,
11,不室茶屋,石川県金沢市尾張町2丁目2番18号,36.572391,136.668024,1,http://www.fumuroya.co.jp/fumuroya/chaya.html,可愛いお麩の美味しいスイーツが食べられます。,年中無休,10:00~17:00,
12,順風堂,石川県金沢市下近江町40-1,36.571569,136.657869,4,http://www.junpudo.co.jp/,お茶碗、箸置き等の九谷焼が可愛いものからシックなものまでたくさん揃っています。,火曜日（祝日は営業）,10：00~17：00,
13,金沢・クラフト広坂,石川県金沢市広坂1-2-25,36.561567,136.658122,4,http://www.crafts-hirosaka.jp/,金沢の様々な伝統工芸を多様に取り揃えています。,月曜日(祝日の場合、翌日定休)、年末年始(12/29?1/1),10:00~18:00,
14,Gallery & Workshop COLONY,石川県金沢市広坂1-2-34,36.561453,136.659019,4,https://www.facebook.com/GalleryWorkshopColony ,オーナーにより厳選された希少な工芸品が取り揃えられています。,火曜日 水曜日,11:00~18:00,
